n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,25,0.75,21,0.98899198397958,0.892286908477526,0.277837203084176,2.56409627207408,SCCA
1000,100,100,25,0.75,22,0.899129764627689,1,0.290217305037065,1.73103176529555,SCCA
1000,100,100,25,0.75,23,0.230090740319693,0.255791592464749,0.0242558029908497,0.79879082060928,SCCA
1000,100,100,25,0.75,24,0.934362339496971,1,0.262221424955954,0.917129171117185,SCCA
1000,100,100,25,0.75,25,0.517027341506999,0.171134825590132,0.0133067440327836,0.686643063040954,SCCA
1000,100,100,50,0.5,1,0.0569524939562598,0.0180108867276114,0.031918875749927,0.11254997448053,SCCA
1000,100,100,50,0.5,2,0.121191158375692,0.0142244347803637,0.036230605597544,0.163574777483501,SCCA
1000,100,100,50,0.5,3,0.0951983589641653,0.0960170761169759,0.0372864106080165,0.0738977001416341,SCCA
1000,100,100,50,0.5,4,0.203784038194372,0.0339116004114867,0.0371339174261397,0.0344424058806142,SCCA
1000,100,100,50,0.5,5,0.998951074885063,1,0.446864537745668,1.13973384909224,SCCA
1000,100,100,50,0.5,6,0.1259658465036,0.255791592464749,0.0775381793719836,0.20273419598383,SCCA
1000,100,100,50,0.5,7,0.899802519785707,1,0.44525409509288,0.676226005411132,SCCA
1000,100,100,50,0.5,8,0.937248536192655,1,0.434136950530436,1.20746632631678,SCCA
1000,100,100,50,0.5,9,0.676937465957703,1,0.482294006275566,0.735163765298299,SCCA
1000,100,100,50,0.5,10,0.788988904165588,0.764660637834179,0.306018815378284,0.0309241289442676,SCCA
1000,100,100,50,0.5,11,0.983888120593351,1,0.442179773616496,1.24194012281495,SCCA
1000,100,100,50,0.5,12,0.136233636371441,0.0139489311800884,0.0263997277615011,0.271989005691599,SCCA
1000,100,100,50,0.5,13,0.100769769733673,0.0754079230572797,0.0284648563942991,0.152779642098586,SCCA
1000,100,100,50,0.5,14,0.415842568796695,0.0175092827113623,0.0317832823958974,0.101527490360771,SCCA
1000,100,100,50,0.5,15,0.117272699856143,0.255791592464749,0.0477420178542411,0.147430909305395,SCCA
1000,100,100,50,0.5,16,0.817337534759975,1,0.387806283019339,0.949212798946089,SCCA
1000,100,100,50,0.5,17,0.0645107059725171,0.0111282039736759,0.034521353394779,0.10373355655237,SCCA
1000,100,100,50,0.5,18,0.709902003372982,1,0.548825543948406,1.15292367856393,SCCA
1000,100,100,50,0.5,19,0.165990758936833,0.0220786513922189,0.019494305955315,0.147678193036046,SCCA
1000,100,100,50,0.5,20,0.15171605284798,0.255791592464749,0.0374338440305856,0.17353142712481,SCCA
1000,100,100,50,0.5,21,0.965280149705495,1,0.292811842768501,0.957223344261763,SCCA
1000,100,100,50,0.5,22,0.085334099688993,0.00328954388390268,0.0118667612243231,0.180111301112067,SCCA
1000,100,100,50,0.5,23,0.216642881313752,0.0918984387994827,0.0460310048831359,0.278887371171589,SCCA
1000,100,100,50,0.5,24,0.107237676931317,0.0307782107704722,0.0229194531015167,0.108659052972115,SCCA
1000,100,100,50,0.5,25,0.0993595933999776,0.0978687906074106,-0.00980723917876952,0.157640462731367,SCCA
1000,100,100,50,0.75,1,0.912037727389778,1,0.258762726728072,1.12318525919153,SCCA
1000,100,100,50,0.75,2,0.975847196032401,1,0.276111298423324,0.671733492158328,SCCA
1000,100,100,50,0.75,3,0.983682236165224,1,0.225788535826473,0.902692852586961,SCCA
1000,100,100,50,0.75,4,0.586960908416345,0.751930530821583,0.226960188587753,0.984831881578319,SCCA
1000,100,100,50,0.75,5,0.614565490412024,0.634631526546764,0.129597966264235,0.469579743352403,SCCA
1000,100,100,50,0.75,6,0.367983588187426,0.764660637834179,0.122712811834392,0.376188393524186,SCCA
1000,100,100,50,0.75,7,0.391403378687039,0.0209669376210536,0.0545829135583563,0.653876344636461,SCCA
1000,100,100,50,0.75,8,0.865571390127131,1,0.152871552117448,0.718969114471709,SCCA
1000,100,100,50,0.75,9,0.996868078085344,1,0.262121069503376,0.728762175807362,SCCA
1000,100,100,50,0.75,10,0.604373137742563,0.921553545944726,0.355695508572611,0.791382991914156,SCCA
1000,100,100,50,0.75,11,0.995755920790616,1,0.290792369134466,0.861471769253639,SCCA
1000,100,100,50,0.75,12,0.318877528221493,0.0952211808919671,0.0535535251162701,0.45728316433973,SCCA
1000,100,100,50,0.75,13,0.916455388675723,0.63463133054113,0.368556562413718,1.77969493204111,SCCA
1000,100,100,50,0.75,14,0.326621739159901,0.264030320645295,0.0411820979803027,0.484507600393889,SCCA
1000,100,100,50,0.75,15,0.85031808895672,1,0.329312173013583,1.17937440867115,SCCA
1000,100,100,50,0.75,16,0.590622015319559,0.503861061643166,0.200460785737411,0.570259248883267,SCCA
1000,100,100,50,0.75,17,0.732674986354234,0.634630725478317,0.207496986347713,1.16430977304547,SCCA
1000,100,100,50,0.75,18,0.904073534252473,0.960875140040999,0.214407954357367,1.43440470736259,SCCA
1000,100,100,50,0.75,19,0.769266373669774,1,0.302314004413363,0.879112205440372,SCCA
1000,100,100,50,0.75,20,0.948381317304433,0.966083136723474,0.161344055559162,1.03098856376876,SCCA
1000,100,100,50,0.75,21,0.789488458700229,1,0.276494296810387,0.926726903412518,SCCA
1000,100,100,50,0.75,22,0.986676434834281,0.995723707702496,0.222872414413263,2.49444292939241,SCCA
